article_id,date,source,country,group,phase,language,gdelt_tone,gdelt_positive_score,gdelt_negative_score,num_mentions,num_sources
gdelt_000758,2026-02-24,ABC Australia,Australia,Oil-Independent,BASELINE,en,-1.11,0.88,2.82,33,15
gdelt_000759,2026-02-24,ABC Australia,Australia,Oil-Independent,BASELINE,en,3.09,5.27,0.0,41,8
gdelt_000760,2026-02-24,Tolo News,Afghanistan,Oil-Dependent,BASELINE,fa,-0.93,0.91,1.57,36,6
gdelt_000761,2026-02-24,Tolo News,Afghanistan,Oil-Dependent,BASELINE,fa,-2.67,0.0,3.77,10,6
gdelt_000762,2026-02-25,Nikkei Asia,Japan,Oil-Dependent,BASELINE,en,-1.0,0.38,2.75,30,11
gdelt_000763,2026-02-25,Nikkei Asia,Japan,Oil-Dependent,BASELINE,en,0.54,3.47,0.61,2,6
gdelt_000764,2026-02-25,Times of India,India,Oil-Dependent,BASELINE,en,1.8,3.36,0.0,22,15
gdelt_000765,2026-02-25,Times of India,India,Oil-Dependent,BASELINE,en,-0.56,1.76,0.78,43,9
gdelt_000766,2026-02-25,Manila Bulletin,Philippines,Oil-Dependent,BASELINE,en,3.14,4.9,0.0,36,2
gdelt_000767,2026-02-25,Manila Bulletin,Philippines,Oil-Dependent,BASELINE,en,3.52,4.65,0.0,42,5
gdelt_000768,2026-02-25,Korea Herald,South Korea,Oil-Dependent,BASELINE,en,0.82,3.45,0.0,32,8
gdelt_000769,2026-02-25,Yonhap,South Korea,Oil-Dependent,BASELINE,en,3.41,3.71,0.0,45,6
gdelt_000770,2026-02-25,Daily Star BD,Bangladesh,Oil-Dependent,BASELINE,en,-0.46,1.82,1.13,33,6
gdelt_000771,2026-02-25,Dhaka Tribune,Bangladesh,Oil-Dependent,BASELINE,en,-2.18,0.0,3.05,16,9
gdelt_000772,2026-02-25,NRK,Norway,Oil-Independent,BASELINE,en,-0.38,2.17,0.44,34,2
gdelt_000773,2026-02-25,NRK,Norway,Oil-Independent,BASELINE,en,-2.79,0.0,3.41,13,11
gdelt_000774,2026-02-25,Globe and Mail,Canada,Oil-Independent,BASELINE,en,2.27,3.24,0.0,7,11
gdelt_000775,2026-02-25,Fox News,USA,Oil-Independent,BASELINE,en,-0.91,1.74,1.57,17,1
gdelt_000776,2026-02-25,Reuters,USA,Oil-Independent,BASELINE,en,2.77,5.24,0.0,29,4
gdelt_000777,2026-02-25,O Globo,Brazil,Oil-Independent,BASELINE,en,-4.06,0.0,6.79,48,14
gdelt_000778,2026-02-25,O Globo,Brazil,Oil-Independent,BASELINE,en,-1.08,1.43,3.89,8,14
gdelt_000779,2026-02-25,Tehran Times,Iran,Conflict-Zone,BASELINE,fa,4.76,5.6,0.0,20,8
gdelt_000780,2026-02-25,Press TV,Iran,Conflict-Zone,BASELINE,fa,2.29,4.4,0.0,7,12
gdelt_000781,2026-02-25,Tolo News,Afghanistan,Oil-Dependent,BASELINE,fa,-0.58,0.99,3.27,49,7
gdelt_000782,2026-02-26,Japan Times,Japan,Oil-Dependent,BASELINE,en,1.27,4.21,0.58,18,10
gdelt_000783,2026-02-26,Japan Times,Japan,Oil-Dependent,BASELINE,en,-3.31,0.0,4.89,15,15
gdelt_000784,2026-02-26,Times of India,India,Oil-Dependent,BASELINE,en,-4.01,0.0,5.09,36,10
gdelt_000785,2026-02-26,The Hindu,India,Oil-Dependent,BASELINE,en,0.53,3.31,2.09,26,13
gdelt_000786,2026-02-26,Philippine Star,Philippines,Oil-Dependent,BASELINE,en,-0.26,0.0,3.07,37,12
gdelt_000787,2026-02-26,Rappler,Philippines,Oil-Dependent,BASELINE,en,-1.73,0.0,4.49,27,4
gdelt_000788,2026-02-26,Yonhap,South Korea,Oil-Dependent,BASELINE,en,2.14,3.7,0.0,5,3
gdelt_000789,2026-02-26,Yonhap,South Korea,Oil-Dependent,BASELINE,en,1.07,3.49,0.0,35,3
gdelt_000790,2026-02-26,Daily Star BD,Bangladesh,Oil-Dependent,BASELINE,en,2.91,3.0,0.0,37,12
gdelt_000791,2026-02-26,Dhaka Tribune,Bangladesh,Oil-Dependent,BASELINE,en,0.31,0.43,0.0,45,7
gdelt_000792,2026-02-26,VG,Norway,Oil-Independent,BASELINE,en,2.56,4.29,0.0,50,13
gdelt_000793,2026-02-26,Fox News,USA,Oil-Independent,BASELINE,en,1.69,3.41,0.0,11,15
gdelt_000794,2026-02-26,ABC Australia,Australia,Oil-Independent,BASELINE,en,1.64,1.82,0.73,13,2
gdelt_000795,2026-02-26,Sky News,UK,Oil-Independent,BASELINE,en,2.77,4.37,0.02,20,2
gdelt_000796,2026-02-26,Sky News,UK,Oil-Independent,BASELINE,en,-1.67,0.0,2.99,11,14
gdelt_000797,2026-02-26,Tolo News,Afghanistan,Oil-Dependent,BASELINE,fa,1.16,2.63,0.0,40,12
gdelt_000798,2026-02-26,Pajhwok,Afghanistan,Oil-Dependent,BASELINE,fa,-1.68,0.0,2.32,6,9
gdelt_000799,2026-02-27,Rappler,Philippines,Oil-Dependent,BASELINE,en,1.29,3.49,0.0,22,6
gdelt_000800,2026-02-27,Korea Herald,South Korea,Oil-Dependent,BASELINE,en,2.58,4.42,0.0,49,11
gdelt_000801,2026-02-27,NRK,Norway,Oil-Independent,BASELINE,en,-1.17,0.51,1.18,30,2
gdelt_000802,2026-02-27,NRK,Norway,Oil-Independent,BASELINE,en,4.79,5.96,0.0,39,9
gdelt_000803,2026-02-27,National Post,Canada,Oil-Independent,BASELINE,en,1.41,3.21,1.58,32,12
gdelt_000804,2026-02-27,CBC,Canada,Oil-Independent,BASELINE,en,0.11,0.58,1.99,26,1
gdelt_000805,2026-02-27,AP News,USA,Oil-Independent,BASELINE,en,-0.82,1.17,2.07,30,1
gdelt_000806,2026-02-27,O Globo,Brazil,Oil-Independent,BASELINE,en,0.44,2.37,1.08,31,2
gdelt_000807,2026-02-27,O Globo,Brazil,Oil-Independent,BASELINE,en,-2.32,0.0,4.48,44,11
gdelt_000808,2026-02-27,ABC Australia,Australia,Oil-Independent,BASELINE,en,-3.07,0.0,3.74,25,14
gdelt_000809,2026-02-27,Pajhwok,Afghanistan,Oil-Dependent,BASELINE,fa,0.46,2.91,1.61,44,4
gdelt_000810,2026-02-28,Nikkei Asia,Japan,Oil-Dependent,ACUTE,en,-6.4,0.0,8.68,40,1
gdelt_000811,2026-02-28,Nikkei Asia,Japan,Oil-Dependent,ACUTE,en,-4.53,0.0,7.52,35,11
gdelt_000812,2026-02-28,Japan Times,Japan,Oil-Dependent,ACUTE,en,-4.33,0.0,4.7,31,8
gdelt_000813,2026-02-28,NHK World,Japan,Oil-Dependent,ACUTE,en,-1.56,1.29,1.79,37,12
gdelt_000814,2026-02-28,Nikkei Asia,Japan,Oil-Dependent,ACUTE,en,-3.58,0.0,4.31,46,7
gdelt_000815,2026-02-28,Nikkei Asia,Japan,Oil-Dependent,ACUTE,en,-3.18,0.0,5.95,2,13
gdelt_000816,2026-02-28,Nikkei Asia,Japan,Oil-Dependent,ACUTE,en,-2.29,0.0,3.71,7,15
gdelt_000817,2026-02-28,NHK World,Japan,Oil-Dependent,ACUTE,en,-4.39,0.0,6.9,10,15
gdelt_000818,2026-02-28,The Hindu,India,Oil-Dependent,ACUTE,en,-6.84,0.0,7.34,32,6
gdelt_000819,2026-02-28,The Hindu,India,Oil-Dependent,ACUTE,en,-3.03,0.0,4.24,17,5
gdelt_000820,2026-02-28,Times of India,India,Oil-Dependent,ACUTE,en,-1.1,0.0,4.1,4,5
gdelt_000821,2026-02-28,Times of India,India,Oil-Dependent,ACUTE,en,-3.88,0.0,6.79,35,11
gdelt_000822,2026-02-28,NDTV,India,Oil-Dependent,ACUTE,en,-7.1,0.0,8.57,40,7
gdelt_000823,2026-02-28,NDTV,India,Oil-Dependent,ACUTE,en,-5.36,0.0,7.21,6,2
gdelt_000824,2026-02-28,Manila Bulletin,Philippines,Oil-Dependent,ACUTE,en,-3.59,0.0,4.73,24,14
gdelt_000825,2026-02-28,Manila Bulletin,Philippines,Oil-Dependent,ACUTE,en,-4.4,0.0,5.39,20,1
gdelt_000826,2026-02-28,Rappler,Philippines,Oil-Dependent,ACUTE,en,-5.3,0.0,6.83,11,6
gdelt_000827,2026-02-28,Philippine Star,Philippines,Oil-Dependent,ACUTE,en,-7.02,0.0,8.21,44,8
gdelt_000828,2026-02-28,Dawn,Pakistan,Oil-Dependent,ACUTE,en,-4.0,0.0,4.08,14,15
gdelt_000829,2026-02-28,Geo News,Pakistan,Oil-Dependent,ACUTE,en,-6.7,0.0,6.86,45,2
gdelt_000830,2026-02-28,Dawn,Pakistan,Oil-Dependent,ACUTE,en,-2.41,0.0,4.43,36,13
gdelt_000831,2026-02-28,Geo News,Pakistan,Oil-Dependent,ACUTE,en,-4.18,0.0,5.02,36,14
gdelt_000832,2026-02-28,Dawn,Pakistan,Oil-Dependent,ACUTE,en,-0.87,0.08,2.41,15,6
gdelt_000833,2026-02-28,Geo News,Pakistan,Oil-Dependent,ACUTE,en,-2.37,0.0,4.0,27,8
gdelt_000834,2026-02-28,Yonhap,South Korea,Oil-Dependent,ACUTE,en,-3.38,0.0,4.07,49,14
gdelt_000835,2026-02-28,Yonhap,South Korea,Oil-Dependent,ACUTE,en,-4.36,0.0,6.18,47,6
gdelt_000836,2026-02-28,Yonhap,South Korea,Oil-Dependent,ACUTE,en,-3.56,0.0,5.88,33,12
gdelt_000837,2026-02-28,Korea Herald,South Korea,Oil-Dependent,ACUTE,en,-5.88,0.0,7.19,45,13
gdelt_000838,2026-02-28,Yonhap,South Korea,Oil-Dependent,ACUTE,en,-7.06,0.0,8.65,41,1
gdelt_000839,2026-02-28,Korea Herald,South Korea,Oil-Dependent,ACUTE,en,-3.73,0.0,5.87,30,7
gdelt_000840,2026-02-28,Daily Star BD,Bangladesh,Oil-Dependent,ACUTE,en,-3.59,0.0,5.34,3,1
gdelt_000841,2026-02-28,Dhaka Tribune,Bangladesh,Oil-Dependent,ACUTE,en,-3.91,0.0,5.08,13,3
gdelt_000842,2026-02-28,Daily Star BD,Bangladesh,Oil-Dependent,ACUTE,en,-4.32,0.0,5.12,44,1
gdelt_000843,2026-02-28,Dhaka Tribune,Bangladesh,Oil-Dependent,ACUTE,en,-1.46,1.36,3.92,11,14
gdelt_000844,2026-02-28,Dhaka Tribune,Bangladesh,Oil-Dependent,ACUTE,en,-5.1,0.0,6.86,18,3
gdelt_000845,2026-02-28,NRK,Norway,Oil-Independent,ACUTE,en,-3.52,0.0,5.88,48,2
gdelt_000846,2026-02-28,NRK,Norway,Oil-Independent,ACUTE,en,-1.76,0.76,4.27,28,6
gdelt_000847,2026-02-28,VG,Norway,Oil-Independent,ACUTE,en,-5.3,0.0,7.22,49,13
gdelt_000848,2026-02-28,National Post,Canada,Oil-Independent,ACUTE,en,-1.83,0.0,2.87,40,7
gdelt_000849,2026-02-28,CBC,Canada,Oil-Independent,ACUTE,en,-3.18,0.0,5.3,17,7
gdelt_000850,2026-02-28,National Post,Canada,Oil-Independent,ACUTE,en,-5.02,0.0,7.91,7,3
gdelt_000851,2026-02-28,Globe and Mail,Canada,Oil-Independent,ACUTE,en,-2.54,0.1,5.52,9,5
gdelt_000852,2026-02-28,AP News,USA,Oil-Independent,ACUTE,en,-2.9,0.0,3.73,30,12
gdelt_000853,2026-02-28,Fox News,USA,Oil-Independent,ACUTE,en,-0.18,2.53,1.92,40,5
gdelt_000854,2026-02-28,Fox News,USA,Oil-Independent,ACUTE,en,-3.49,0.0,6.04,38,14
gdelt_000855,2026-02-28,Fox News,USA,Oil-Independent,ACUTE,en,-1.94,0.95,2.77,2,3
gdelt_000856,2026-02-28,Reuters,USA,Oil-Independent,ACUTE,en,-1.16,1.62,3.0,29,12
gdelt_000857,2026-02-28,NYT,USA,Oil-Independent,ACUTE,en,-4.33,0.0,4.83,24,12
gdelt_000858,2026-02-28,Reuters,USA,Oil-Independent,ACUTE,en,-3.78,0.0,4.29,12,3
gdelt_000859,2026-02-28,O Globo,Brazil,Oil-Independent,ACUTE,en,-0.33,2.29,2.08,4,13
gdelt_000860,2026-02-28,O Globo,Brazil,Oil-Independent,ACUTE,en,-3.96,0.0,5.2,28,8
gdelt_000861,2026-02-28,Folha de S.Paulo,Brazil,Oil-Independent,ACUTE,en,-2.13,0.0,4.18,49,1
gdelt_000862,2026-02-28,Folha de S.Paulo,Brazil,Oil-Independent,ACUTE,en,-3.22,0.0,4.56,24,6
gdelt_000863,2026-02-28,O Globo,Brazil,Oil-Independent,ACUTE,en,-2.72,0.0,4.95,34,6
gdelt_000864,2026-02-28,ABC Australia,Australia,Oil-Independent,ACUTE,en,-4.16,0.0,5.94,14,12
gdelt_000865,2026-02-28,ABC Australia,Australia,Oil-Independent,ACUTE,en,-4.92,0.0,5.18,40,1
gdelt_000866,2026-02-28,Sydney Morning Herald,Australia,Oil-Independent,ACUTE,en,-5.5,0.0,6.95,16,10
gdelt_000867,2026-02-28,Sydney Morning Herald,Australia,Oil-Independent,ACUTE,en,-2.89,0.0,5.8,17,15
gdelt_000868,2026-02-28,ABC Australia,Australia,Oil-Independent,ACUTE,en,-3.31,0.0,5.3,3,8
gdelt_000869,2026-02-28,The Guardian,UK,Oil-Independent,ACUTE,en,-2.78,0.0,4.88,41,3
gdelt_000870,2026-02-28,BBC,UK,Oil-Independent,ACUTE,en,1.73,4.16,0.45,13,12
gdelt_000871,2026-02-28,The Guardian,UK,Oil-Independent,ACUTE,en,-3.72,0.0,4.97,45,3
gdelt_000872,2026-02-28,BBC,UK,Oil-Independent,ACUTE,en,-2.22,0.28,5.02,27,4
gdelt_000873,2026-02-28,Financial Times,UK,Oil-Independent,ACUTE,en,-1.82,0.86,4.77,23,5
gdelt_000874,2026-02-28,Sky News,UK,Oil-Independent,ACUTE,en,0.78,3.11,0.28,7,8
gdelt_000875,2026-02-28,BBC,UK,Oil-Independent,ACUTE,en,-1.58,0.56,2.93,13,14
gdelt_000876,2026-02-28,BBC,UK,Oil-Independent,ACUTE,en,-3.19,0.0,4.73,37,12
gdelt_000877,2026-02-28,Fars News,Iran,Conflict-Zone,ACUTE,fa,-7.83,0.0,8.64,24,2
gdelt_000878,2026-02-28,Fars News,Iran,Conflict-Zone,ACUTE,fa,-5.56,0.0,7.69,34,14
gdelt_000879,2026-02-28,Fars News,Iran,Conflict-Zone,ACUTE,fa,-3.57,0.0,5.13,44,15
gdelt_000880,2026-02-28,Pajhwok,Afghanistan,Oil-Dependent,ACUTE,fa,-6.76,0.0,8.02,28,8
gdelt_000881,2026-02-28,Tolo News,Afghanistan,Oil-Dependent,ACUTE,fa,-2.59,0.0,4.18,19,3
gdelt_000882,2026-02-28,Pajhwok,Afghanistan,Oil-Dependent,ACUTE,fa,-4.04,0.0,4.71,23,4
gdelt_000883,2026-02-28,Tolo News,Afghanistan,Oil-Dependent,ACUTE,fa,-2.47,0.0,3.18,25,7
gdelt_000884,2026-02-28,Tolo News,Afghanistan,Oil-Dependent,ACUTE,fa,-6.04,0.0,8.56,7,9
gdelt_000885,2026-02-28,Pajhwok,Afghanistan,Oil-Dependent,ACUTE,fa,-5.89,0.0,8.29,9,5
gdelt_000886,2026-02-28,Pajhwok,Afghanistan,Oil-Dependent,ACUTE,fa,-3.1,0.0,3.6,12,14
gdelt_000887,2026-03-01,NHK World,Japan,Oil-Dependent,ACUTE,en,-6.18,0.0,7.68,30,13
gdelt_000888,2026-03-01,Japan Times,Japan,Oil-Dependent,ACUTE,en,-5.16,0.0,7.83,16,1
gdelt_000889,2026-03-01,Japan Times,Japan,Oil-Dependent,ACUTE,en,-5.88,0.0,6.19,42,7
gdelt_000890,2026-03-01,Japan Times,Japan,Oil-Dependent,ACUTE,en,-2.78,0.0,3.8,6,7
gdelt_000891,2026-03-01,NHK World,Japan,Oil-Dependent,ACUTE,en,-2.83,0.0,5.5,2,14
gdelt_000892,2026-03-01,NHK World,Japan,Oil-Dependent,ACUTE,en,-3.35,0.0,4.84,36,9
gdelt_000893,2026-03-01,Japan Times,Japan,Oil-Dependent,ACUTE,en,-4.04,0.0,6.56,41,11
gdelt_000894,2026-03-01,Japan Times,Japan,Oil-Dependent,ACUTE,en,-5.69,0.0,7.14,44,2
gdelt_000895,2026-03-01,The Hindu,India,Oil-Dependent,ACUTE,en,-6.0,0.0,7.06,23,11
gdelt_000896,2026-03-01,NDTV,India,Oil-Dependent,ACUTE,en,-4.81,0.0,5.39,44,15
gdelt_000897,2026-03-01,The Hindu,India,Oil-Dependent,ACUTE,en,-3.74,0.0,6.55,37,4
gdelt_000898,2026-03-01,Times of India,India,Oil-Dependent,ACUTE,en,-3.11,0.0,3.97,28,1
gdelt_000899,2026-03-01,The Hindu,India,Oil-Dependent,ACUTE,en,-1.85,0.0,3.01,4,13
gdelt_000900,2026-03-01,Times of India,India,Oil-Dependent,ACUTE,en,-1.24,0.0,2.17,34,8
gdelt_000901,2026-03-01,NDTV,India,Oil-Dependent,ACUTE,en,-2.13,0.0,4.99,38,6
gdelt_000902,2026-03-01,Times of India,India,Oil-Dependent,ACUTE,en,-2.48,0.0,2.49,4,2
gdelt_000903,2026-03-01,Rappler,Philippines,Oil-Dependent,ACUTE,en,-4.33,0.0,4.71,37,14
gdelt_000904,2026-03-01,Rappler,Philippines,Oil-Dependent,ACUTE,en,-2.14,0.0,2.14,28,8
gdelt_000905,2026-03-01,Rappler,Philippines,Oil-Dependent,ACUTE,en,-6.06,0.0,6.8,25,11
gdelt_000906,2026-03-01,Manila Bulletin,Philippines,Oil-Dependent,ACUTE,en,-4.15,0.0,5.17,45,7
gdelt_000907,2026-03-01,Philippine Star,Philippines,Oil-Dependent,ACUTE,en,-2.76,0.0,2.85,18,13
gdelt_000908,2026-03-01,Philippine Star,Philippines,Oil-Dependent,ACUTE,en,-1.92,0.0,3.18,40,13
gdelt_000909,2026-03-01,Geo News,Pakistan,Oil-Dependent,ACUTE,en,-1.83,0.2,4.14,11,10
gdelt_000910,2026-03-01,Geo News,Pakistan,Oil-Dependent,ACUTE,en,-2.83,0.0,4.21,42,1
gdelt_000911,2026-03-01,Dawn,Pakistan,Oil-Dependent,ACUTE,en,-3.44,0.0,4.21,22,7
gdelt_000912,2026-03-01,Geo News,Pakistan,Oil-Dependent,ACUTE,en,-1.38,0.0,3.06,37,5
gdelt_000913,2026-03-01,Geo News,Pakistan,Oil-Dependent,ACUTE,en,-5.44,0.0,5.49,50,8
gdelt_000914,2026-03-01,Geo News,Pakistan,Oil-Dependent,ACUTE,en,-0.47,1.23,2.12,22,5
gdelt_000915,2026-03-01,Dawn,Pakistan,Oil-Dependent,ACUTE,en,-5.16,0.0,5.9,34,9
gdelt_000916,2026-03-01,Korea Herald,South Korea,Oil-Dependent,ACUTE,en,-7.18,0.0,8.43,39,10
gdelt_000917,2026-03-01,Korea Herald,South Korea,Oil-Dependent,ACUTE,en,-1.96,0.0,2.95,49,15
gdelt_000918,2026-03-01,Korea Herald,South Korea,Oil-Dependent,ACUTE,en,-4.14,0.0,4.3,42,9
gdelt_000919,2026-03-01,Dhaka Tribune,Bangladesh,Oil-Dependent,ACUTE,en,-2.79,0.0,5.57,5,3
gdelt_000920,2026-03-01,Daily Star BD,Bangladesh,Oil-Dependent,ACUTE,en,-4.14,0.0,4.74,3,10
gdelt_000921,2026-03-01,Daily Star BD,Bangladesh,Oil-Dependent,ACUTE,en,-1.94,0.1,3.82,32,7
gdelt_000922,2026-03-01,Dhaka Tribune,Bangladesh,Oil-Dependent,ACUTE,en,-5.25,0.0,5.58,6,13
gdelt_000923,2026-03-01,Dhaka Tribune,Bangladesh,Oil-Dependent,ACUTE,en,-4.23,0.0,6.29,41,7
gdelt_000924,2026-03-01,Aftenposten,Norway,Oil-Independent,ACUTE,en,-4.08,0.0,6.68,9,11
gdelt_000925,2026-03-01,Aftenposten,Norway,Oil-Independent,ACUTE,en,-5.74,0.0,8.66,2,8
gdelt_000926,2026-03-01,Aftenposten,Norway,Oil-Independent,ACUTE,en,-2.16,0.0,2.56,6,13
gdelt_000927,2026-03-01,Aftenposten,Norway,Oil-Independent,ACUTE,en,-3.41,0.0,6.24,26,9
gdelt_000928,2026-03-01,National Post,Canada,Oil-Independent,ACUTE,en,1.85,4.79,0.1,39,11
gdelt_000929,2026-03-01,Globe and Mail,Canada,Oil-Independent,ACUTE,en,-1.36,0.0,3.54,44,11
gdelt_000930,2026-03-01,CBC,Canada,Oil-Independent,ACUTE,en,-0.97,0.0,3.53,30,6
gdelt_000931,2026-03-01,Globe and Mail,Canada,Oil-Independent,ACUTE,en,1.7,1.91,0.14,8,9
gdelt_000932,2026-03-01,CBC,Canada,Oil-Independent,ACUTE,en,-4.81,0.0,7.69,50,11
gdelt_000933,2026-03-01,Reuters,USA,Oil-Independent,ACUTE,en,-0.55,2.11,1.49,15,5
gdelt_000934,2026-03-01,CNN,USA,Oil-Independent,ACUTE,en,-5.08,0.0,6.57,38,1
gdelt_000935,2026-03-01,CNN,USA,Oil-Independent,ACUTE,en,-3.45,0.0,5.91,29,5
gdelt_000936,2026-03-01,CNN,USA,Oil-Independent,ACUTE,en,-0.43,1.29,1.06,9,11
gdelt_000937,2026-03-01,NYT,USA,Oil-Independent,ACUTE,en,-3.49,0.0,5.98,13,13
gdelt_000938,2026-03-01,Folha de S.Paulo,Brazil,Oil-Independent,ACUTE,en,-2.46,0.0,4.89,27,13
gdelt_000939,2026-03-01,Folha de S.Paulo,Brazil,Oil-Independent,ACUTE,en,-2.17,0.0,4.12,18,1
gdelt_000940,2026-03-01,Folha de S.Paulo,Brazil,Oil-Independent,ACUTE,en,-4.32,0.0,6.56,2,9
gdelt_000941,2026-03-01,Folha de S.Paulo,Brazil,Oil-Independent,ACUTE,en,-2.72,0.0,3.44,47,14
gdelt_000942,2026-03-01,Folha de S.Paulo,Brazil,Oil-Independent,ACUTE,en,-2.23,0.0,2.51,49,2
gdelt_000943,2026-03-01,Folha de S.Paulo,Brazil,Oil-Independent,ACUTE,en,-1.42,0.0,3.67,25,1
gdelt_000944,2026-03-01,Folha de S.Paulo,Brazil,Oil-Independent,ACUTE,en,-4.2,0.0,4.82,17,6
gdelt_000945,2026-03-01,O Globo,Brazil,Oil-Independent,ACUTE,en,-2.83,0.0,3.24,3,1
gdelt_000946,2026-03-01,ABC Australia,Australia,Oil-Independent,ACUTE,en,-2.14,0.6,2.59,6,1
gdelt_000947,2026-03-01,Sydney Morning Herald,Australia,Oil-Independent,ACUTE,en,-3.09,0.0,3.91,7,13
gdelt_000948,2026-03-01,ABC Australia,Australia,Oil-Independent,ACUTE,en,-1.95,0.44,4.36,48,3
gdelt_000949,2026-03-01,Sydney Morning Herald,Australia,Oil-Independent,ACUTE,en,-0.26,0.43,1.07,46,11
gdelt_000950,2026-03-01,ABC Australia,Australia,Oil-Independent,ACUTE,en,-1.36,0.23,1.97,24,15
gdelt_000951,2026-03-01,Sky News,UK,Oil-Independent,ACUTE,en,-3.09,0.0,5.26,40,1
gdelt_000952,2026-03-01,Financial Times,UK,Oil-Independent,ACUTE,en,-3.93,0.0,5.09,39,2
gdelt_000953,2026-03-01,Financial Times,UK,Oil-Independent,ACUTE,en,-2.01,0.79,4.56,28,13
gdelt_000954,2026-03-01,The Guardian,UK,Oil-Independent,ACUTE,en,-2.86,0.0,4.46,12,6
gdelt_000955,2026-03-01,Sky News,UK,Oil-Independent,ACUTE,en,-2.96,0.0,4.58,28,14
gdelt_000956,2026-03-01,Tehran Times,Iran,Conflict-Zone,ACUTE,fa,-5.1,0.0,7.64,20,5
gdelt_000957,2026-03-01,Tehran Times,Iran,Conflict-Zone,ACUTE,fa,-8.41,0.0,9.24,44,10
gdelt_000958,2026-03-01,IRNA,Iran,Conflict-Zone,ACUTE,fa,-6.78,0.0,9.76,38,7
gdelt_000959,2026-03-01,Tasnim,Iran,Conflict-Zone,ACUTE,fa,-6.94,0.0,9.33,35,6
gdelt_000960,2026-03-01,IRNA,Iran,Conflict-Zone,ACUTE,fa,-4.73,0.0,6.65,36,5
gdelt_000961,2026-03-01,Tehran Times,Iran,Conflict-Zone,ACUTE,fa,-7.66,0.0,8.35,31,12
gdelt_000962,2026-03-01,IRNA,Iran,Conflict-Zone,ACUTE,fa,-6.61,0.0,6.9,34,5
gdelt_000963,2026-03-01,Pajhwok,Afghanistan,Oil-Dependent,ACUTE,fa,-6.62,0.0,8.06,42,7
gdelt_000964,2026-03-01,Tolo News,Afghanistan,Oil-Dependent,ACUTE,fa,-3.41,0.0,6.34,49,12
gdelt_000965,2026-03-01,Tolo News,Afghanistan,Oil-Dependent,ACUTE,fa,-5.97,0.0,6.15,18,7
gdelt_000966,2026-03-02,Japan Times,Japan,Oil-Dependent,ACUTE,en,-6.7,0.0,7.51,26,15
gdelt_000967,2026-03-02,Nikkei Asia,Japan,Oil-Dependent,ACUTE,en,-2.08,0.0,3.04,3,2
gdelt_000968,2026-03-02,Japan Times,Japan,Oil-Dependent,ACUTE,en,-6.03,0.0,8.71,28,2
gdelt_000969,2026-03-02,Nikkei Asia,Japan,Oil-Dependent,ACUTE,en,-2.42,0.0,3.85,48,9
gdelt_000970,2026-03-02,NHK World,Japan,Oil-Dependent,ACUTE,en,-3.82,0.0,3.86,13,3
gdelt_000971,2026-03-02,NHK World,Japan,Oil-Dependent,ACUTE,en,-1.13,1.73,3.39,43,5
gdelt_000972,2026-03-02,Nikkei Asia,Japan,Oil-Dependent,ACUTE,en,-3.22,0.0,5.94,4,10
gdelt_000973,2026-03-02,NDTV,India,Oil-Dependent,ACUTE,en,-4.44,0.0,6.88,41,7
gdelt_000974,2026-03-02,The Hindu,India,Oil-Dependent,ACUTE,en,-4.29,0.0,5.49,3,8
gdelt_000975,2026-03-02,NDTV,India,Oil-Dependent,ACUTE,en,-4.9,0.0,6.56,30,11
gdelt_000976,2026-03-02,The Hindu,India,Oil-Dependent,ACUTE,en,-6.78,0.0,9.65,37,1
gdelt_000977,2026-03-02,Times of India,India,Oil-Dependent,ACUTE,en,-3.1,0.0,5.74,36,9
gdelt_000978,2026-03-02,The Hindu,India,Oil-Dependent,ACUTE,en,-2.22,0.0,3.94,9,12
gdelt_000979,2026-03-02,NDTV,India,Oil-Dependent,ACUTE,en,-1.59,0.08,1.82,5,10
gdelt_000980,2026-03-02,Times of India,India,Oil-Dependent,ACUTE,en,-3.69,0.0,3.8,5,15
gdelt_000981,2026-03-02,Rappler,Philippines,Oil-Dependent,ACUTE,en,-4.33,0.0,6.06,5,11
gdelt_000982,2026-03-02,Philippine Star,Philippines,Oil-Dependent,ACUTE,en,-6.56,0.0,9.19,29,9
gdelt_000983,2026-03-02,Rappler,Philippines,Oil-Dependent,ACUTE,en,-1.67,0.0,3.14,7,1
gdelt_000984,2026-03-02,Philippine Star,Philippines,Oil-Dependent,ACUTE,en,-3.09,0.0,3.82,11,1
gdelt_000985,2026-03-02,Philippine Star,Philippines,Oil-Dependent,ACUTE,en,-2.63,0.0,5.1,26,10
gdelt_000986,2026-03-02,Dawn,Pakistan,Oil-Dependent,ACUTE,en,-7.49,0.0,10.39,13,2
gdelt_000987,2026-03-02,Dawn,Pakistan,Oil-Dependent,ACUTE,en,-1.96,0.61,3.31,42,2
gdelt_000988,2026-03-02,Dawn,Pakistan,Oil-Dependent,ACUTE,en,-2.98,0.0,4.14,30,13
gdelt_000989,2026-03-02,Dawn,Pakistan,Oil-Dependent,ACUTE,en,-5.75,0.0,7.61,5,10
gdelt_000990,2026-03-02,Dawn,Pakistan,Oil-Dependent,ACUTE,en,-4.13,0.0,5.46,50,15
gdelt_000991,2026-03-02,Dawn,Pakistan,Oil-Dependent,ACUTE,en,-5.71,0.0,6.27,50,6
gdelt_000992,2026-03-02,Geo News,Pakistan,Oil-Dependent,ACUTE,en,-6.58,0.0,7.33,3,15
